file,loc,language,change_count,churn_added,churn_deleted,churn_total,authors_count,author_concentration,last_modified_date,max_function_cc,avg_function_cc,max_function_loc,duplication_percent,code_health_score,hotspot_score,is_hotspot,coupling_degree,developer_congestion_flag,former_contributor_risk_flag
osafw-app/App_Data/sql/updates/upd2020-06-30.sql,5,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2020-09-30.sql,1,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2020-10-16.sql,1,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2021-08-04.sql,22,.sql,0,0,0,0,0,0.0,,0,0.0,0,22.73,8.5,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2022-06-23.sql,4,.sql,0,0,0,0,0,0.0,,0,0.0,0,50.0,8.5,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2022-12-06.sql,5,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-03-27.sql,1,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-03-28.sql,1,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-04-11.sql,3,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-05-01.sql,2,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-08-30.sql,5,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
osafw-app/App_Data/sql/updates/upd2023-10-04.sql,1,.sql,0,0,0,0,0,0.0,,0,0.0,0,0.0,10.0,0.0,False,0,False,False
